zona_censal_residencia;n;criterio
13123021003;5;No
13123031004;5;No
13123031008;5;No
13123041010;5;No
13123061001;5;No
13124011001;5;No
13124011004;5;No
13124021005;5;No
13124051002;5;No
13125011003;5;No
13125011008;5;No
13127021004;5;No
13127061007;5;No
13127111004;5;No
13128091002;5;No
13129011005;5;No
13129071005;5;No
13130021001;5;No
13130071004;5;No
13201011004;5;No
13202012001;5;No
13301011002;5;No
13302011004;5;No
13302011006;5;No
13302041004;5;No
13401041002;5;No
13401061001;5;No
13402011003;5;No
13404011003;5;No
13501011005;5;No
13503011002;5;No
13602011004;5;No
13101031004;6;No
13101041001;6;No
13101051002;6;No
13101091004;6;No
13101131003;6;No
13101131005;6;No
13101151003;6;No
13101261001;6;No
13101271001;6;No
13101281005;6;No
13103021003;6;No
13104061002;6;No
13104081001;6;No
13105051002;6;No
13107011001;6;No
13109051002;6;No
13109061004;6;No
13110011004;6;No
13110141005;6;No
13110151005;6;No
13111041003;6;No
13111051002;6;No
13112021002;6;No
13114011005;6;No
13114131006;6;No
13118011004;6;No
13118061002;6;No
13119011004;6;No
13119021002;6;No
13119031005;6;No
13119051004;6;No
13119051009;6;No
13120061002;6;No
13121081002;6;No
13122041005;6;No
13123031002;6;No
13124061012;6;No
13124071003;6;No
13124091005;6;No
13127021003;6;No
13127091001;6;No
13128061004;6;No
13128071008;6;No
13128101004;6;No
13129011001;6;No
13129011004;6;No
13130041004;6;No
13130051001;6;No
13131051001;6;No
13131071002;6;No
13132011001;6;No
13132011006;6;No
13201011001;6;No
13201031006;6;No
13201041001;6;No
13201061007;6;No
13201131001;6;No
13201141007;6;No
13301011012;6;No
13301061005;6;No
13302011003;6;No
13401061015;6;No
13401081005;6;No
13401141001;6;No
13404032025;6;No
13501021002;6;No
13501021007;6;No
13101051003;7;No
13101071001;7;No
13101081003;7;No
13101151001;7;No
13101171002;7;No
13101191002;7;No
13101201003;7;No
13101271004;7;No
13101281003;7;No
13102021001;7;No
13104021001;7;No
13104031003;7;No
13104061001;7;No
13104071004;7;No
13106021002;7;No
13106111003;7;No
13106111004;7;No
13108011005;7;No
13108031003;7;No
13108041001;7;No
13108051005;7;No
13109011004;7;No
13109021001;7;No
13110011005;7;No
13110021004;7;No
13110191004;7;No
13110201001;7;No
13110201005;7;No
13110211002;7;No
13112071006;7;No
13113041001;7;No
13114031007;7;No
13114051003;7;No
13114111006;7;No
13114121004;7;No
13114131007;7;No
13114131008;7;No
13117021004;7;No
13117031004;7;No
13117041005;7;No
13117061001;7;No
13117071002;7;No
13117071003;7;No
13118021006;7;No
13118041001;7;No
13118061004;7;No
13119031002;7;No
13119151001;7;No
13119231004;7;No
13120011001;7;No
13120031001;7;No
13120071002;7;No
13120071004;7;No
13120081004;7;No
13121051003;7;No
13122071003;7;No
13122071005;7;No
13123011003;7;No
13123041007;7;No
13123041012;7;No
13124031003;7;No
13125021006;7;No
13126011003;7;No
13126071002;7;No
13126091004;7;No
13127031001;7;No
13127041004;7;No
13127061006;7;No
13127081001;7;No
13127081003;7;No
13127101001;7;No
13128021001;7;No
13128021003;7;No
13128031003;7;No
13128071005;7;No
13130061003;7;No
13131011001;7;No
13132021001;7;No
13132041003;7;No
13201041002;7;No
13201041007;7;No
13201131005;7;No
13201171008;7;No
13201181005;7;No
