ïagno;rbd;dgv_rbd;nom_rbd;let_rbd;num_rbd;cod_com_rbd;nom_com_rbd;cod_depe;rural_rbd;ens_01;ens_02;ens_03;ens_04;ens_05;ens_06;ens_07;ens_08;ens_09
2004;7839;5;"ESCUELA RURAL TEOFISTO CARCAMO SERON""""";G;619;10108;MAULLIN;2;1;110;;;;;;;;
2004;7840;9;"ESCUELA RURAL PAULINO VELASQUEZ ALVARAD""";G;620;10108;MAULLIN;2;1;110;;;;;;;;
2004;7842;5;"ESCUELA RURAL NATALIA WITTWER""""";G;624;10108;MAULLIN;2;1;110;;;;;;;;
2004;7844;1;"ESCUELA RURAL PUPALGUIN""""";G;628;10108;MAULLIN;2;1;110;;;;;;;;
2004;7846;8;"ESCUELA RURAL JOSE IGNACIO URIBE OYARZU""";G;630;10108;MAULLIN;2;1;110;;;;;;;;
2004;7847;6;"ESCUELA RURAL CHUYAQUEN""""";G;631;10108;MAULLIN;2;1;110;;;;;;;;
2004;7848;4;"ESCUELA RURAL ABEL ASENCIO MUÃOZ""""";G;632;10108;MAULLIN;2;1;110;;;;;;;;
2004;7849;2;"ESCUELA RURAL AINCO""""";G;633;10108;MAULLIN;2;1;110;;;;;;;;
2004;7850;6;"ESCUELA RURAL LOS ARCES""""";G;634;10108;MAULLIN;2;1;110;;;;;;;;
2004;7851;4;"ESCUELA RURAL NUEVO AMANECER""""";G;636;10108;MAULLIN;2;1;110;;;;;;;;
2004;7852;2;"ESCUELA RURAL JUANITA FERNANDEZ""""";G;637;10108;MAULLIN;2;1;110;;;;;;;;
2004;7854;9;"ESCUELA RURAL JUANITA GALLARDO""""";G;640;10108;MAULLIN;2;1;110;;;;;;;;
2004;7855;7;"ESCUELA RURAL PUELPUN""""";G;641;10108;MAULLIN;2;1;110;;;;;;;;
2004;7856;5;"ESCUELA RURAL ASTILLEROS""""";G;642;10108;MAULLIN;2;1;110;;;;;;;;
2004;7858;1;"ESCUELA RURAL FRANCISCO HERNANDEZ NAVAR""";G;644;10108;MAULLIN;2;1;110;;;;;;;;
2004;7860;3;"ESCUELA RURAL MARIO ENRIQUE GUZMAN ACEV""";G;645;10108;MAULLIN;2;1;110;;;;;;;;
2004;7861;1;"ESCUELA RURAL EL JARDIN DE OLMOPULLI""""";G;648;10108;MAULLIN;2;1;110;;;;;;;;
2004;7863;8;"ESCUELA RURAL LOS CARRERA""""";G;650;10108;MAULLIN;2;1;110;;;;;;;;
2004;7864;6;"ESCUELA RURAL SAN JORGE""""";G;652;10108;MAULLIN;2;1;110;;;;;;;;
2004;7865;4;"ESCUELA RURAL ANA BORQUEZ SUBIABRE""""";G;653;10108;MAULLIN;2;1;110;;;;;;;;
2004;7866;2;"ESCUELA RURAL HILDA HUNQUEN""""";G;654;10108;MAULLIN;2;1;10;110;;;;;;;
2004;7867;0;"ESCUELA RURAL LOS CIRUELILLOS""""";G;783;10108;MAULLIN;2;1;110;;;;;;;;
2004;7868;9;"ESCUELA RURAL LOS PINOS DEL EMPALME""""";G;817;10108;MAULLIN;2;1;110;;;;;;;;
